"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"225502_at",-1.45187099515765,0.185039146560897,-10.9441066369463,4.72096384897482e-21,9.80321680374851e-20,37.1098950065656,"Down"
"233025_at",-1.80244490296517,0.0970346920197239,-10.942978268011,4.75435491215289e-21,9.86880618154743e-20,37.1029023999862,"Down"
"209873_s_at",1.11560534441927,-0.0211210104778107,10.9394803637225,4.85937171802326e-21,1.00791406935858e-19,37.0812261462964,"Up"
"221648_s_at",1.25230810272106,-0.0696448618341141,10.9377044932436,4.9135713537965e-21,1.01838329707666e-19,37.0702215462067,"Up"
"215630_at",-1.01876951649793,0.0558351759372534,-10.931543209073,5.1063358545812e-21,1.05713333150029e-19,37.0320434648588,"Down"
"241459_at",-1.64569068236675,0.101845541414859,-10.9298925380056,5.15924952671811e-21,1.06768345145084e-19,37.0218156337743,"Down"
"218719_s_at",1.08241224582048,-0.0693242830084648,10.9279414532152,5.22249950261837e-21,1.0803638301387e-19,37.0097266449871,"Up"
"201111_at",1.16786836416613,-0.0949377925994412,10.9251097288346,5.31567742302374e-21,1.09850438389743e-19,36.9921816759982,"Up"
"228782_at",-3.39981335400284,0.572852871394395,-10.9250934229201,5.31621874676286e-21,1.09850438389743e-19,36.9920806485211,"Down"
"244745_at",-1.53936130432199,0.0621361479453074,-10.9250289460706,5.31835978824529e-21,1.09853162607598e-19,36.9916811658466,"Down"
"221909_at",1.46619767100965,-0.133179037507684,10.9182140276265,5.5495807450606e-21,1.14542592388142e-19,36.9494593236881,"Up"
"202575_at",2.17325150187918,-0.100420022842867,10.9173019603792,5.58127794963144e-21,1.1515334788532e-19,36.9438088671726,"Up"
"216920_s_at",-1.76289915263886,0.172342761974277,-10.9163697757255,5.61386105426734e-21,1.15738255332604e-19,36.9380338420219,"Down"
"217791_s_at",1.0972839942744,-0.0534585823173488,10.911862577149,5.77410198306905e-21,1.18952157469593e-19,36.9101119654572,"Up"
"227081_at",-1.89626451365725,0.101271710060487,-10.9114254538436,5.78988350515954e-21,1.19232346758794e-19,36.9074040873712,"Down"
"204047_s_at",-1.02354411304572,0.0420090463579471,-10.909544637123,5.85827956451715e-21,1.20550032062467e-19,36.8957530222882,"Down"
"201387_s_at",2.76971149383808,-0.283356130613289,10.9065955062998,5.96715237803133e-21,1.22744189717405e-19,36.8774846152096,"Up"
"211144_x_at",-1.63453542987768,0.142452016676775,-10.9024980687619,6.1217776177355e-21,1.25830147086349e-19,36.8521040849381,"Down"
"204124_at",-2.30279834352867,0.318579540553542,-10.9006141560905,6.19420694782332e-21,1.27271050308997e-19,36.8404350872715,"Down"
"227407_at",-1.02260857416576,0.055711639017998,-10.897964792411,6.29751464616013e-21,1.29345083876335e-19,36.8240253154826,"Down"
"242033_at",-1.11514354481205,0.0585837787799556,-10.8978047226846,6.30381111965291e-21,1.29425787820887e-19,36.8230338837164,"Down"
"229510_at",-1.53191451358597,0.1003109144857,-10.8971786672114,6.32849793636488e-21,1.29835131208536e-19,36.8191562713722,"Down"
"215046_at",-1.17222002649694,0.0300685771671187,-10.896773058917,6.3445435030266e-21,1.30115497384839e-19,36.8166440627438,"Down"
"202014_at",-1.51236749391926,0.0806145280798406,-10.8952919864394,6.40347929497186e-21,1.31274927053838e-19,36.8074708756476,"Down"
"226118_at",1.04262246778669,-0.0819682170417899,10.8849784069178,6.82931860800744e-21,1.39690607891061e-19,36.7435971266376,"Up"
"209053_s_at",1.22016765773683,-0.0742525281180145,10.8840695750826,6.86817217234221e-21,1.40432802364551e-19,36.737968959748,"Up"
"229796_at",1.65942356224886,-0.0881453880083826,10.8829122054669,6.91797057650361e-21,1.41398146269284e-19,36.7308017509947,"Up"
"219594_at",-1.36660124847677,0.140752543821787,-10.8809988863322,7.00108704642447e-21,1.42936681950432e-19,36.7189534174356,"Down"
"214697_s_at",1.24357304391334,-0.0568355493017341,10.8785943714744,7.10695648234988e-21,1.45043988679537e-19,36.7040637194758,"Up"
"220459_at",1.1293641969732,-0.0984278541950197,10.8761515390427,7.21614957021352e-21,1.47103298839924e-19,36.6889371919722,"Up"
"225342_at",2.11469218269674,-0.107132156970291,10.8760966576921,7.2186218708279e-21,1.47103298839924e-19,36.6885973604031,"Up"
"235867_at",-1.143059648505,0.0388840762409188,-10.875297818409,7.25470393248112e-21,1.47728468345775e-19,36.6836508824976,"Down"
"211689_s_at",-1.8699032329233,0.160429816792078,-10.8685431906184,7.56708428290213e-21,1.53974816958569e-19,36.6418276146654,"Down"
"228401_at",1.33469229163266,-0.0921396836041256,10.8676648288726,7.60868014851659e-21,1.54706056943155e-19,36.6363892343192,"Up"
"220994_s_at",-1.86335140659339,0.0484056594084895,-10.8675214661627,7.61549089286813e-21,1.54786975675675e-19,36.6355016090992,"Down"
"217809_at",1.03846278433631,-0.0424685154747288,10.8668782524856,7.64612307727844e-21,1.55351831754069e-19,36.6315191933459,"Up"
